Prep Date,Read Date,Read Time,TimePoint,Treatment,Temperature,Family,Cross,CrossPop,Mom,Plate Number,Well Replicate,Settled,SettledPercentage,Metamorphosed but not settled,Not settled,Total count
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F23,D16 x E4,DxE,DaviesMom,41,1,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F23,D16 x E4,DxE,DaviesMom,41,2,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F23,D16 x E4,DxE,DaviesMom,41,3,0,0,0,0,0
17/12/2019,19/12/2019,08:40,T40,Hot,35.5C,F24,D12 x E4,DxE,DaviesMom,59,1,0,0,0,0,0
17/12/2019,19/12/2019,08:40,T40,Hot,35.5C,F24,D12 x E4,DxE,DaviesMom,59,2,1,0,0,0,0
17/12/2019,19/12/2019,08:40,T40,Hot,35.5C,F24,D12 x E4,DxE,DaviesMom,59,3,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F26,E5 x E4,ExE,EskMom,29,1,0,0,0,7,7
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F26,E5 x E4,ExE,EskMom,29,2,1,12.5,0,7,8
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F26,E5 x E4,ExE,EskMom,29,3,7,77.77777778,0,2,9
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F26,E5 x E4,ExE,EskMom,36,1,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F26,E5 x E4,ExE,EskMom,36,2,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F26,E5 x E4,ExE,EskMom,36,3,0,0,0,0,0
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F27,E3 x E4,ExE,EskMom,6,1,2,28.57142857,5,0,7
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F27,E3 x E4,ExE,EskMom,6,2,1,10,9,0,10
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F27,E3 x E4,ExE,EskMom,6,3,2,100,0,0,2
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F27,E3 x E4,ExE,EskMom,14,1,0,0,0,0,0
