Cross,Populationcross,Mom,Dad,Temperature,Roff.mean,Parentalphen.mean,h2.y,Parental.des,S.x,R.z
E3xK6,ExK,EskMom,KeppelsDad,27.5C,87.98611111,63.46153846,0.924114332,90,26.53846154,24.52457265
E3xD10,ExD,EskMom,DaviesDad,27.5C,92.22222222,67.30769231,1.097928437,90,22.69230769,24.91452991
K6xE3,KxE,KeppelsMom,EskDad,27.5C,88.88888889,63.46153846,0.958132045,90,26.53846154,25.42735043
E4xK6,ExK,EskMom,KeppelsDad,27.5C,88.88888889,63.46153846,0.958132045,90,26.53846154,25.42735043
K1xE1,KxE,KeppelsMom,EskDad,27.5C,89.10394265,63.46153846,0.96623552,90,26.53846154,25.64240419
D11xE5,DxE,DaviesMom,EskDad,27.5C,93.54166667,67.30769231,1.156073446,90,22.69230769,26.23397436
K9xK6,KxK,KeppelsMom,KeppelsDad,35.5C,66.66666667,40.00000000,0.533333333,90,50,26.66666667
D12xE5,DxE,DaviesMom,EskDad,35.5C,52.79569892,25.85365854,0.420008995,90,64.14634146,26.94204039
K3xK6,KxK,KeppelsMom,KeppelsDad,35.5C,67.16845878,40.00000000,0.543369176,90,50,27.16845878
D20xD16,DxD,DaviesMom,DaviesDad,35.5C,58.88888889,31.70731707,0.466294747,90,58.29268293,27.18157182
E4xE3,ExE,EskMom,EskDad,35.5C,47.22222222,20.00000000,0.388888889,90,70,27.22222222
D16xK6,DxK,DaviesMom,KeppelsDad,35.5C,63.33333333,35.85365854,0.507507508,90,54.14634146,27.4796748
E5xD10,ExD,EskMom,DaviesDad,35.5C,53.33333333,25.85365854,0.428390368,90,64.14634146,27.4796748
K3xE4,KxE,KeppelsMom,EskDad,27.5C,91.11111111,63.46153846,1.041867955,90,26.53846154,27.64957265
E1xK7,ExK,EskMom,KeppelsDad,27.5C,91.11111111,63.46153846,1.041867955,90,26.53846154,27.64957265
E1xK8,ExK,EskMom,KeppelsDad,27.5C,92.22222222,63.46153846,1.08373591,90,26.53846154,28.76068376
